textbox22
generated on 04/01/2017 14:23:17 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Azerbaijan,European Region of WHO,Western Asia,2008,11,2008-03-10,2008-03-16,,30,0,,0,,0,0,,,,0,0,,No Report
Azerbaijan,European Region of WHO,Western Asia,2008,12,2008-03-17,2008-03-23,,32,0,,0,,0,0,,,,0,0,,No Report
Azerbaijan,European Region of WHO,Western Asia,2010,40,2010-10-04,2010-10-10,,5,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,45,2010-11-08,2010-11-14,,16,0,0,0,,0,0,,,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,46,2010-11-15,2010-11-21,,5,0,0,0,,0,0,,,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,47,2010-11-22,2010-11-28,,6,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,48,2010-11-29,2010-12-05,,8,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,49,2010-12-06,2010-12-12,,7,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,50,2010-12-13,2010-12-19,,19,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,51,2010-12-20,2010-12-26,,4,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2010,52,2010-12-27,2011-01-02,,3,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2011,1,2011-01-03,2011-01-09,,7,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Azerbaijan,European Region of WHO,Western Asia,2011,2,2011-01-10,2011-01-16,,7,0,0,0,,0,0,0,0,0,0,0,,Sporadic
